Al,Si,Zn,Liquidus temperature
0,0,100,692.68
0,10,90,1186.66
0,20,80,1292.87
0,30,70,1355.35
0,40,60,1402.68
0,50,50,1445.71
0,60,40,1489.55
0,70,30,1536.36
0,80,20,1586.22
0,90,10,1637.51
0,100,0,1687.0
10,0,90,658.88
10,10,80,1132.6
10,20,70,1241.92
10,30,60,1311.23
10,40,50,1367.23
10,50,40,1419.7
10,60,30,1472.85
10,70,20,1528.0
10,80,10,1584.36
10,90,0,1639.45
20,0,80,695.15
20,10,70,1080.55
20,20,60,1193.2
20,30,50,1269.52
20,40,40,1334.37
20,50,30,1396.43
20,60,20,1459.03
20,70,10,1522.61
20,80,0,1585.58
30,0,70,732.55
30,10,60,1031.03
30,20,50,1147.11
30,30,40,1230.49
30,40,30,1304.17
30,50,20,1375.76
30,60,10,1447.68
30,70,0,1519.55
40,0,60,762.76
40,10,50,984.52
40,20,40,1104.06
40,30,30,1194.38
40,40,20,1276.68
40,50,10,1357.5
40,60,0,1438.39
50,0,50,788.13
50,10,40,941.5
50,20,30,1064.41
50,30,20,1161.39
50,40,10,1251.9
50,50,0,1341.44
60,0,40,812.09
60,10,30,902.42
60,20,20,1028.5
60,30,10,1131.71
60,40,0,1229.83
70,0,30,837.13
70,10,20,867.66
70,20,10,996.64
70,30,0,1105.48
80,0,20,864.95
80,10,10,837.62
80,20,0,969.09
90,0,10,896.78
90,10,0,866.93
100,0,0,933.6
