Cu,Mg,Zn,Liquidus temperature
0,0,100,692.68
0,10,90,683.89
0,20,80,815.7
0,30,70,860.42
0,40,60,854.22
0,50,50,811.41
0,60,40,735.17
0,70,30,625.57
0,80,20,734.57
0,90,10,837.91
0,100,0,923.0
10,0,90,850.48
10,10,80,759.16
10,20,70,924.93
10,30,60,990.26
10,40,50,1005.87
10,50,40,982.88
10,60,30,929.09
10,70,20,841.76
10,80,10,740.02
10,90,0,830.39
20,0,80,974.68
20,10,70,894.14
20,20,60,1000.96
20,30,50,1071.37
20,40,40,1079.11
20,50,30,1043.32
20,60,20,969.72
20,70,10,843.09
20,80,0,791.79
30,0,70,1073.17
30,10,60,979.06
30,20,50,1047.66
30,30,40,1111.68
30,40,30,1109.56
30,50,20,1058.29
30,60,10,952.33
30,70,0,837.66
40,0,60,1108.51
40,10,50,1009.02
40,20,40,1063.38
40,30,30,1120.4
40,40,20,1107.69
40,50,10,1032.93
40,60,0,827.63
50,0,50,1141.52
50,10,40,1035.46
50,20,30,1052.15
50,30,20,1103.31
50,40,10,1078.47
50,50,0,960.23
60,0,40,1172.04
60,10,30,1062.87
60,20,20,1023.53
60,30,10,1074.47
60,40,0,1052.69
70,0,30,1225.0
70,10,20,1121.04
70,20,10,999.65
70,30,0,1068.76
80,0,20,1275.01
80,10,10,1169.95
80,20,0,1017.28
90,0,10,1318.84
90,10,0,1211.0
100,0,0,1357.77
